,before_pct,after_pct
ride_id,0.0,0.0
rideable_type,0.0,0.0
started_at,0.0,0.0
ended_at,0.0,0.0
start_station_name,14.201,14.201
start_station_id,14.203,14.203
end_station_name,15.182,15.182
end_station_id,15.185,15.185
start_lat,0.0,0.0
start_lng,0.0,0.0
end_lat,0.102,0.102
end_lng,0.102,0.102
member_casual,0.0,0.0
ride_length_s,0.0,0.0
ride_length_min,0.0,0.0
date,0.0,0.0
hour_of_day,0.0,0.0
day_of_week,0.0,0.0
month,0.0,0.0
is_weekend,0.0,0.0
coords_start_invalid,0.0,0.0
coords_end_invalid,0.0,0.0
distance_km,0.102,0.102
long_trip_flag,0.0,0.0
