,n_missing,pct_missing
end_station_id,889605,15.185
end_station_name,889464,15.182
start_station_id,832114,14.203
start_station_name,831982,14.201
distance_km,5981,0.102
end_lng,5973,0.102
end_lat,5973,0.102
ended_at,0,0.0
ride_id,0,0.0
rideable_type,0,0.0
started_at,0,0.0
start_lng,0,0.0
member_casual,0,0.0
ride_length_s,0,0.0
ride_length_min,0,0.0
start_lat,0,0.0
date,0,0.0
hour_of_day,0,0.0
month,0,0.0
day_of_week,0,0.0
is_weekend,0,0.0
coords_start_invalid,0,0.0
coords_end_invalid,0,0.0
long_trip_flag,0,0.0
