ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length_s,ride_length_min,date,hour_of_day,day_of_week,month,is_weekend,coords_start_invalid,coords_end_invalid,distance_km,long_trip_flag
5F7C8E8F46276038,classic_bike,2022-09-13 17:42:48,2022-09-13 17:45:56,Emerald Ave & 31st St,TA1309000055,Morgan St & 31st St,TA1308000046,41.838198,-87.645143,41.8378,-87.65114,member,188.0,3.1333333333333333,2022-09-13,17,Tuesday,September,False,False,False,0.4987825476298468,False
D462AAF20F82B5A8,classic_bike,2022-10-01 09:11:21,2022-10-01 09:24:47,DuSable Lake Shore Dr & Wellington Ave,TA1307000041,Clark St & Lincoln Ave,13179,41.9366884494997,-87.63682901859283,41.915689,-87.6346,casual,806.0,13.433333333333334,2022-10-01,9,Saturday,October,True,False,False,2.3423025408445053,False
A997793203B2C3C6,electric_bike,2022-05-28 18:20:31,2022-05-28 19:08:07,Blue Island Ave & 18th St,13135,,,41.85745666666666,-87.66171766666666,41.89,-87.61,member,2856.0,47.6,2022-05-28,18,Saturday,May,True,False,False,5.606341836342037,False
DA2CB45AE21F0361,electric_bike,2022-05-12 06:42:00,2022-05-12 06:44:07,Michigan Ave & Washington St,13001,Dearborn St & Monroe St,TA1305000006,41.883946,-87.62346216666667,41.881319815,-87.6295209193,member,127.0,2.1166666666666667,2022-05-12,6,Thursday,May,False,False,False,0.5803948803812143,False
FE47F8AA2D03FFA2,electric_bike,2022-10-28 22:14:09,2022-10-28 22:18:33,,,,,41.84,-87.73,41.84,-87.73,casual,264.0,4.4,2022-10-28,22,Friday,October,False,False,False,0.0,False
8A2E4C4D558DC88D,classic_bike,2022-09-16 22:53:50,2022-09-16 23:26:59,California Ave & 23rd Pl,15689,Albany Ave & 26th St,15691,41.84910969176,-87.6951398068,41.84447501366,-87.7020130128,casual,1989.0,33.15,2022-09-16,22,Friday,September,False,False,False,0.7679322194295478,False
CD788ECCDA99DC44,electric_bike,2022-06-05 19:01:56,2022-06-05 19:04:53,Dearborn St & Erie St,13045,Wells St & Huron St,TA1306000012,41.893976927,-87.629339576,41.894722,-87.634362,member,177.0,2.95,2022-06-05,19,Sunday,June,True,False,False,0.4238861778852608,False
E1A002DC218CBCFA,electric_bike,2022-07-20 15:20:16,2022-07-20 15:21:40,Spaulding Ave & Division St,15654,Spaulding Ave & Division St,15654,41.90273783333333,-87.70926733333333,41.90270659438,-87.709219571,casual,84.0,1.4,2022-07-20,15,Wednesday,July,False,False,False,0.0052622004221219,False
5E87D5B3B7E6C9BD,electric_bike,2022-10-06 07:52:34,2022-10-06 08:05:17,,,,,41.95,-87.67,41.94,-87.65,member,763.0,12.716666666666669,2022-10-06,7,Thursday,October,False,False,False,1.9931129034208364,False
2454E7C531A9DBF8,classic_bike,2022-06-15 19:44:49,2022-06-15 20:28:03,California Ave & North Ave,13258,California Ave & North Ave,13258,41.9104754,-87.6968944,41.9104754,-87.6968944,casual,2594.0,43.23333333333333,2022-06-15,19,Wednesday,June,False,False,False,0.0,False
AAF50C3124D10EA5,classic_bike,2022-05-10 12:00:42,2022-05-10 12:47:17,Shedd Aquarium,15544,Museum of Science and Industry,KA1503000074,41.86722595682,-87.6153553902,41.79172820953,-87.583945009,casual,2795.0,46.583333333333336,2022-05-10,12,Tuesday,May,False,False,False,8.789112773498626,False
